Date,Open,High,Low,Close,Adj Close,Volume
2021-08-09,27520.000000,29800.000000,27310.000000,29610.000000,25573.566406,734048
2021-08-16,29610.000000,31680.000000,29400.000000,31270.000000,27007.277344,881147
2021-08-23,31480.000000,31590.000000,30620.000000,31200.000000,26946.816406,402890
2021-08-30,31330.000000,31600.000000,30810.000000,31400.000000,27119.552734,887685
2021-09-06,31260.000000,31390.000000,30800.000000,31290.000000,27024.546875,289453
2021-09-13,30800.000000,31500.000000,30480.000000,31300.000000,27033.187500,1390493
2021-09-20,30900.000000,31280.000000,30400.000000,30880.000000,26670.441406,667093
2021-09-27,32370.000000,33260.000000,31200.000000,33000.000000,28501.439453,721601
2021-10-04,33280.000000,33780.000000,32320.000000,33400.000000,28907.759766,502365
2021-10-11,33330.000000,34940.000000,32520.000000,34560.000000,29911.744141,736309
2021-10-18,34560.000000,34560.000000,33460.000000,33460.000000,28959.693359,327227
2021-10-25,34200.000000,34500.000000,33460.000000,33680.000000,29150.101563,652827
2021-11-01,33680.000000,34200.000000,33280.000000,33460.000000,28959.693359,450848
2021-11-08,33480.000000,33500.000000,31630.000000,32160.000000,27834.539063,507519
2021-11-15,32160.000000,32160.000000,29630.000000,30000.000000,25965.054688,1139021
2021-11-22,30290.000000,31460.000000,29510.000000,30050.000000,26008.332031,269183
2021-11-29,30400.000000,36490.000000,30210.000000,35000.000000,30292.564453,2707543
2021-12-06,34510.000000,35200.000000,30300.000000,32220.000000,27886.468750,786035
2021-12-13,30900.000000,34500.000000,30900.000000,34160.000000,29565.546875,976982
2021-12-20,33700.000000,33890.000000,32290.000000,33380.000000,28890.451172,562853
2021-12-27,32960.000000,34700.000000,32500.000000,34700.000000,30032.914063,134242
2022-01-03,34500.000000,34840.000000,31800.000000,34200.000000,29716.521484,153942
2022-01-10,34800.000000,37880.000000,33310.000000,36480.000000,31697.619141,1867352
2022-01-17,36480.000000,42000.000000,36480.000000,38850.000000,33756.925781,660646
2022-01-24,40000.000000,40490.000000,37770.000000,39610.000000,34417.289063,668502
2022-01-31,39500.000000,40630.000000,36340.000000,38990.000000,33878.566406,962079
2022-02-07,38900.000000,40000.000000,36250.000000,36700.000000,31888.781250,984597
2022-02-14,37500.000000,38700.000000,36010.000000,37060.000000,32201.583984,991585
2022-02-21,37290.000000,39470.000000,36890.000000,39240.000000,34095.792969,1473240
2022-02-28,39040.000000,40500.000000,39040.000000,40000.000000,34756.160156,1316672
2022-03-07,39600.000000,40000.000000,38850.000000,39180.000000,34043.664063,4377724002
2022-03-14,38310.000000,39700.000000,38100.000000,39670.000000,34469.425781,1753472
2022-03-21,40200.000000,42350.000000,39700.000000,42240.000000,36702.507813,1284348
2022-03-28,42300.000000,43680.000000,41000.000000,43610.000000,37892.906250,665389
2022-04-04,43610.000000,44000.000000,42510.000000,42550.000000,37667.433594,752916
2022-04-11,43800.000000,44000.000000,42550.000000,43700.000000,38685.472656,463842
2022-04-18,43250.000000,44500.000000,42700.000000,43300.000000,38331.367188,1071677
2022-04-25,41000.000000,43400.000000,40900.000000,42000.000000,37180.542969,945515
2022-05-02,41150.000000,42480.000000,39800.000000,39800.000000,35232.992188,717109
2022-05-09,39150.000000,40900.000000,39000.000000,39160.000000,34666.433594,2445998
2022-05-16,38330.000000,39840.000000,35000.000000,38500.000000,34082.164063,2110842
2022-05-23,39420.000000,44000.000000,38700.000000,43950.000000,38906.785156,1342124
2022-05-30,43950.000000,45700.000000,43090.000000,43090.000000,38145.468750,4050721
2022-06-06,44000.000000,44000.000000,41910.000000,43500.000000,38508.425781,741784
2022-06-13,40200.000000,43170.000000,39600.000000,39600.000000,35055.941406,1551513
2022-06-20,38500.000000,39500.000000,36780.000000,37000.000000,32754.291016,825178
2022-06-27,37000.000000,37000.000000,33540.000000,34100.000000,30837.140625,1421355
2022-07-04,34100.000000,35680.000000,34000.000000,35490.000000,32094.136719,1133880
2022-07-11,34990.000000,35700.000000,31600.000000,33380.000000,30186.033203,641579
2022-07-18,34500.000000,35500.000000,32000.000000,35330.000000,31949.447266,677075
2022-07-25,34520.000000,38000.000000,34520.000000,35990.000000,32546.296875,335146
2022-08-01,34790.000000,37000.000000,34420.000000,37000.000000,33459.656250,1006736
2022-08-08,37980.000000,39900.000000,36650.000000,39900.000000,36082.167969,738476
2022-08-15,39900.000000,39900.000000,38000.000000,38000.000000,34363.972656,230975
2022-08-22,36820.000000,37990.000000,34000.000000,37950.000000,34318.753906,617676
2022-08-29,37050.000000,37550.000000,33900.000000,34200.000000,30927.576172,1815870
2022-09-05,34400.000000,34780.000000,32750.000000,33510.000000,30303.597656,488453
2022-09-12,33730.000000,35000.000000,32960.000000,33900.000000,30656.277344,858355
2022-09-19,33240.000000,36000.000000,33100.000000,33110.000000,29941.871094,958713
2022-09-26,30970.000000,33750.000000,29000.000000,31100.000000,28124.197266,426755
2022-10-03,32680.000000,35500.000000,31510.000000,35500.000000,32932.613281,262547
2022-10-10,34280.000000,35480.000000,33520.000000,34000.000000,31541.091797,293048
2022-10-17,34000.000000,35500.000000,34000.000000,35080.000000,32542.988281,387198
2022-10-24,32780.000000,35370.000000,32780.000000,34900.000000,32376.003906,476010
2022-10-31,35500.000000,37480.000000,34600.000000,36840.000000,34175.699219,514106
2022-11-07,37500.000000,40500.000000,36430.000000,40500.000000,37571.007813,394509
2022-11-14,41000.000000,41800.000000,39200.000000,41500.000000,38498.687500,748303
2022-11-21,41200.000000,41900.000000,40600.000000,41900.000000,38869.757813,834350
2022-11-28,40880.000000,41400.000000,38200.000000,39460.000000,36606.222656,2339564
2022-12-05,40790.000000,40790.000000,38900.000000,39980.000000,37088.613281,495826
2022-12-12,39320.000000,42780.000000,39320.000000,42000.000000,38962.523438,1967218
2022-12-19,42420.000000,42420.000000,40000.000000,41100.000000,38127.613281,786104
2022-12-26,40500.000000,42500.000000,40000.000000,42500.000000,39426.363281,1706027
2023-01-02,41520.000000,42990.000000,41400.000000,42100.000000,39823.984375,1050811
2023-01-09,42100.000000,44000.000000,42100.000000,42860.000000,40542.894531,340264
2023-01-16,43200.000000,43490.000000,42500.000000,43490.000000,41138.835938,685078
2023-01-23,43490.000000,43490.000000,40730.000000,42100.000000,39823.984375,538555
2023-01-30,42320.000000,42320.000000,40710.000000,41760.000000,39502.363281,1262795
2023-02-06,41810.000000,41900.000000,40500.000000,40500.000000,38310.480469,464168
2023-02-13,40500.000000,40670.000000,36020.000000,39400.000000,37269.949219,2537663
2023-02-20,38840.000000,39790.000000,36100.000000,37000.000000,34999.699219,487715
2023-02-27,36310.000000,38000.000000,35900.000000,37140.000000,35132.132813,1569194
2023-03-06,37990.000000,39000.000000,37730.000000,38100.000000,36040.230469,478044
2023-03-13,35060.000000,35700.000000,30480.000000,31400.000000,29702.447266,1674456
2023-03-20,32590.000000,34000.000000,32010.000000,34000.000000,32161.884766,398004
2023-03-27,34000.000000,34990.000000,32200.000000,34990.000000,33098.363281,618905
2023-04-03,34980.000000,35300.000000,34090.000000,35300.000000,34289.468750,369954
2023-04-10,35250.000000,39170.000000,35220.000000,39170.000000,38048.683594,537574
2023-04-17,38360.000000,39800.000000,38140.000000,38650.000000,37543.570313,1255008
2023-04-24,38810.000000,38810.000000,35000.000000,36000.000000,34969.429688,456422
2023-05-01,35780.000000,35890.000000,34400.000000,35000.000000,33998.058594,454528
2023-05-08,35000.000000,35000.000000,33200.000000,33200.000000,32249.585938,1407930
2023-05-15,33820.000000,33820.000000,31500.000000,31530.000000,30627.392578,871164
2023-05-22,32000.000000,32460.000000,28580.000000,29460.000000,28616.650391,691139
2023-05-29,29520.000000,30980.000000,27800.000000,30600.000000,29724.015625,2190583
2023-06-05,31990.000000,35000.000000,31280.000000,33850.000000,32880.980469,757800
2023-06-12,33190.000000,33680.000000,31550.000000,32240.000000,31317.068359,719481
2023-06-19,32950.000000,32950.000000,30090.000000,31040.000000,30151.419922,256859
2023-06-26,31700.000000,31700.000000,29800.000000,31000.000000,30112.566406,1116126
2023-07-03,30900.000000,31790.000000,30180.000000,30400.000000,30400.000000,2032664
2023-07-10,30500.000000,33700.000000,30200.000000,33700.000000,33700.000000,395365
2023-07-17,33680.000000,34000.000000,33010.000000,33600.000000,33600.000000,483642
2023-07-24,33600.000000,33890.000000,31000.000000,33300.000000,33300.000000,730730
2023-07-31,33300.000000,33890.000000,32700.000000,33490.000000,33490.000000,251185
2023-08-07,33490.000000,33490.000000,31100.000000,31100.000000,31100.000000,1062070308
2023-08-14,31500.000000,31900.000000,30500.000000,30550.000000,30550.000000,372866
2023-08-21,30250.000000,30900.000000,28700.000000,28700.000000,28700.000000,672444
2023-08-25,29150.000000,29400.000000,28700.000000,28700.000000,28700.000000,128030
